Mt-enriched progenitors_name,Mt-enriched progenitors_logfoldchange,Mt-enriched progenitors_pval,Embryonic gut mesenchymal cells_name,Embryonic gut mesenchymal cells_logfoldchange,Embryonic gut mesenchymal cells_pval,Gut wall SM and ICCs_name,Gut wall SM and ICCs_logfoldchange,Gut wall SM and ICCs_pval,Villus SM cells_name,Villus SM cells_logfoldchange,Villus SM cells_pval,Mature fibroblast-like cells_name,Mature fibroblast-like cells_logfoldchange,Mature fibroblast-like cells_pval,Pericytes_name,Pericytes_logfoldchange,Pericytes_pval,Colonic mesenchymal cells-1_name,Colonic mesenchymal cells-1_logfoldchange,Colonic mesenchymal cells-1_pval,Colonic mesenchymal cells-2_name,Colonic mesenchymal cells-2_logfoldchange,Colonic mesenchymal cells-2_pval,Tmem176a+ cells_name,Tmem176a+ cells_logfoldchange,Tmem176a+ cells_pval,Undifferentiated endothelial cells_name,Undifferentiated endothelial cells_logfoldchange,Undifferentiated endothelial cells_pval,Transitioning endothelial cells_name,Transitioning endothelial cells_logfoldchange,Transitioning endothelial cells_pval,Venous endothelial cells_name,Venous endothelial cells_logfoldchange,Venous endothelial cells_pval,Arterial endothelial cells_name,Arterial endothelial cells_logfoldchange,Arterial endothelial cells_pval,Lymphatic endothelial cells_name,Lymphatic endothelial cells_logfoldchange,Lymphatic endothelial cells_pval,Capillary endothelial cells_name,Capillary endothelial cells_logfoldchange,Capillary endothelial cells_pval,Lgr5+ stem/ progenitor cells_name,Lgr5+ stem/ progenitor cells_logfoldchange,Lgr5+ stem/ progenitor cells_pval,Enterocytes-1_name,Enterocytes-1_logfoldchange,Enterocytes-1_pval,Enterocytes-2_name,Enterocytes-2_logfoldchange,Enterocytes-2_pval,Enterocytes-3_name,Enterocytes-3_logfoldchange,Enterocytes-3_pval,Goblet cells_name,Goblet cells_logfoldchange,Goblet cells_pval,Enteroendocrine cells_name,Enteroendocrine cells_logfoldchange,Enteroendocrine cells_pval,Enteric neurons_name,Enteric neurons_logfoldchange,Enteric neurons_pval,Enteric glial cells_name,Enteric glial cells_logfoldchange,Enteric glial cells_pval,Enteric neuronal progenitor cells_name,Enteric neuronal progenitor cells_logfoldchange,Enteric neuronal progenitor cells_pval,Mesothelial progenitor cells_name,Mesothelial progenitor cells_logfoldchange,Mesothelial progenitor cells_pval,Differentiated mesothelial cells_name,Differentiated mesothelial cells_logfoldchange,Differentiated mesothelial cells_pval,Macrophages-1_name,Macrophages-1_logfoldchange,Macrophages-1_pval,Macrophages-2_name,Macrophages-2_logfoldchange,Macrophages-2_pval,Erythrocytes_name,Erythrocytes_logfoldchange,Erythrocytes_pval
Gm42418,2.050854,0.0,Ptn,4.3167024,0.0,Meis2,3.4395528,0.0,Myl9,6.357422,1.6778911163207785e-119,Col3a1,6.070898,0.0,Pdgfrb,6.7837596,1.4430936214529722e-155,Meis2,3.6113727,0.0,Col14a1,4.1594977,6.901666771191041e-211,Adamdec1,8.369211,7.45359359100531e-46,mt-Nd4l,2.6259253,0.0,Cdh5,3.900877,0.0,Vwf,6.7315025,9.818029187082204e-219,Fbln5,7.3221703,1.8287700490800955e-122,Mmrn1,7.8837867,0.0,Igfbp7,7.615959,0.0,Bex1,4.493469,0.0,Epcam,5.6213465,0.0,Apoa4,8.33324,0.0,Fabp2,8.853637,0.0,Agr2,12.01832,5.748842620670654e-151,Fxyd3,6.9097476,4.000787128977417e-101,Tubb3,8.330788,0.0,Mpz,11.103612,6.571890050704327e-164,Ednrb,5.325398,0.0,Upk3b,6.214994,0.0,Msln,9.953745,0.0,Tmsb4x,2.7611694,0.0,Ctss,7.585671,2.3656004306279578e-262,Hba-a1,12.496491,2.403391865691672e-190
mt-Co3,0.7420995,0.0,Dlk1,4.229639,0.0,Mab21l2,3.70486,0.0,Cald1,4.5162992,1.2676996344865108e-117,Col1a2,6.0038905,0.0,Rgs5,8.287025,1.321126451316291e-150,Mdk,2.8566587,0.0,Lum,4.0102706,7.528713291718354e-207,Tmem176a,5.040193,1.5329236085310575e-45,Tmsb10,1.4938555,0.0,Icam2,3.765203,0.0,Cavin2,5.0471425,1.1114728025568896e-210,Fn1,5.5665154,4.508965651609231e-114,Cldn5,5.0639377,1.9414413965750416e-302,Plvap,6.4106455,0.0,Epcam,4.4348702,0.0,Cldn7,5.2297873,0.0,Apoa1,8.330999,0.0,Rbp2,7.8003387,0.0,Tff3,11.303531,1.4192552309319373e-150,Tm4sf4,8.253503,1.6200385067995616e-99,Dpysl3,5.7338777,0.0,Plp1,7.685401,9.429491756540303e-162,Fabp7,6.900466,0.0,Igfbp2,4.0254207,0.0,S100a6,5.640334,0.0,Fcer1g,8.235345,0.0,Cd74,10.031071,9.47389389431771e-261,Hba-a2,12.359651,2.554725938440625e-190
mt-Atp6,0.7363998,0.0,Cdkn1c,2.9192133,0.0,Foxp2,4.7088127,0.0,Tagln,7.4723625,2.4499515976633004e-116,Dcn,6.660593,0.0,Col18a1,5.225403,3.447560066358667e-150,Fbn2,3.2173364,0.0,Mfap4,3.470011,1.9165080275594157e-197,Tmem176b,4.396839,6.410949863651369e-44,Gm42418,1.9576218,0.0,Egfl7,3.7762299,0.0,Fabp4,6.2342343,5.385741429256861e-209,Tm4sf1,5.443712,8.083799206066595e-112,Gnas,2.256054,5.794817466343646e-293,Col4a1,5.1916265,0.0,Bex4,3.6084425,0.0,Pycard,4.5776653,0.0,Mttp,6.509332,0.0,Ftl1,2.4964297,0.0,Fcgbp,11.448082,6.618582116877124e-142,Krt8,4.9037886,9.83208473647131e-99,Tuba1a,4.0613966,0.0,Marcks,3.162971,3.2850887002662757e-159,Tgfb2,4.887304,0.0,Igfbp5,3.809444,0.0,Igfbp6,7.5929823,0.0,Tyrobp,8.098489,0.0,Psap,4.9357224,7.5950048376209245e-258,Hbb-bt,12.01571,1.6856088429028044e-187
mt-Nd2,0.802821,0.0,Meg3,3.9820652,0.0,Myl9,3.7660847,0.0,Tpm1,4.3872786,1.7879811334663903e-115,Col1a1,6.0437093,0.0,Ebf1,5.34448,1.813551951072632e-146,Mab21l2,3.4253073,0.0,Tcf21,3.615165,3.307010631611378e-197,Col6a4,9.505418,5.570083692380983e-43,Tmsb4x,1.2967736,0.0,Cldn5,4.0260377,0.0,Ptprb,5.2873454,1.8723393123334741e-199,Ptprb,5.2873693,2.1599520884318372e-111,Klhl4,5.4034023,5.968827944638918e-292,Kdr,5.656364,0.0,Mif,2.0410118,0.0,Lypd8,5.9060364,0.0,Mamdc4,6.678704,0.0,Lgals4,6.0211177,0.0,Krt18,5.189072,3.3889831304569373e-141,Aplp1,5.9563384,7.486920900811492e-93,Phox2b,6.664038,0.0,Mal,10.317742,2.6456371127200977e-157,Rbp1,3.5095766,0.0,Upk1b,5.928985,0.0,Crip1,5.5031486,0.0,Apoe,6.752044,0.0,C1qc,7.630758,1.1944330481241069e-256,Hbb-bs,10.69772,3.096780577324751e-178
mt-Nd4l,1.9222971,0.0,Col3a1,4.1242456,0.0,Psd,3.9433517,0.0,Acta2,7.1621795,8.19589248189764e-115,Postn,6.666659,0.0,Myh9,4.1194277,6.098206016771394e-137,Tshz2,2.7828603,0.0,Ifitm1,3.347466,1.4405853819934568e-190,Gm13889,5.934609,1.1326836277953477e-41,Gnas,1.483446,0.0,Ecscr,3.424478,0.0,Fbln2,5.8806653,2.73326267391669e-196,Eln,6.825557,9.187640098952053e-105,Prox1,7.473259,2.9331119350176566e-273,Flt1,6.309623,0.0,Spint2,3.0994074,0.0,Krt8,4.8837533,0.0,Acsl5,5.592249,0.0,Npl,6.8058333,0.0,Spint2,4.7269545,3.1590236134467334e-139,Spint2,4.127133,9.333604162888279e-93,Elavl4,8.39197,0.0,Col14a1,5.8683157,4.137946844649838e-154,Metrn,4.845452,0.0,Wt1,4.573309,0.0,Upk3b,6.6443644,0.0,Coro1a,6.782404,0.0,Apoe,7.8429947,1.7787929779070687e-254,Fth1,2.9835837,3.1589118910903656e-152
mt-Nd4,0.6512708,0.0,Itm2a,3.6353319,0.0,Tpm2,3.3411193,0.0,Myh11,7.4150047,1.318400212349834e-114,Gsn,5.1995945,0.0,Cygb,6.2386165,1.7015571256218502e-134,Atxn7l3b,2.060923,0.0,Lgals1,2.9759526,1.2948610434475413e-182,Col6a1,4.775067,1.2362106932920442e-41,Mest,2.3645527,0.0,Mest,2.8511584,0.0,Eln,6.211465,2.685242838586251e-195,Fstl1,3.5279408,7.598302930786087e-103,Cavin2,4.363723,2.813114318284258e-271,Col4a2,4.8045063,0.0,Krt19,3.562554,0.0,Lgals4,5.997247,0.0,Apoc3,7.3966002,0.0,Oat,4.6176033,0.0,Fxyd3,6.8455043,3.525758849829618e-139,Cck,10.108879,2.0172057380082378e-92,Uchl1,5.724713,0.0,Sparc,3.833173,7.082394875889824e-151,Phox2b,5.069202,0.0,Cryab,4.153923,0.0,Rarres2,6.086227,5.230983204788814e-307,Cst3,3.156911,0.0,C1qb,7.5637603,5.78499731670428e-253,Alas2,11.091679,2.09741979095457e-118
mt-Co2,0.5975924,0.0,Col1a1,4.044361,0.0,Meg3,3.3097026,0.0,Notch3,6.2829595,5.227074301465336e-113,Col6a1,5.0187817,0.0,Col4a1,4.640808,2.235553540421996e-132,Tcf21,3.448098,0.0,Col1a1,3.653225,3.949888532224398e-180,Malat1,3.3361597,1.3755469675200557e-39,Actb,1.0742474,0.0,Emcn,3.5495138,0.0,Cav1,4.5716853,4.9591046644737566e-195,Sox17,5.4899206,6.582014993662243e-97,Stab1,4.2996764,4.9189648568411026e-256,Rgcc,6.249624,0.0,Cldn7,3.6116402,0.0,Oat,4.195455,0.0,Apob,6.406065,0.0,Aldob,5.7658024,0.0,Tpd52,4.9243765,2.733468067689675e-138,Chgb,10.224763,5.971549932632363e-92,Map1b,4.8099036,0.0,Dst,4.8996787,1.4889313763197706e-150,Ckb,3.2287755,0.0,Tmem108,4.839414,0.0,Dcn,6.1704516,3.524441225451454e-300,Cyba,3.3167388,0.0,C1qa,7.617849,4.656079623733504e-252,Ftl1,1.6956807,6.833766360084324e-107
mt-Nd5,0.7411984,6.671290788788909e-237,Mdk,3.0749211,0.0,Lsp1,3.250352,0.0,Crip1,4.898636,4.842244910794635e-112,Lum,5.6463695,0.0,Gm13889,5.70721,2.0347050677871583e-129,Fst,5.7438073,0.0,Col3a1,3.709616,6.423624861740978e-180,Plpp3,5.0059085,6.113098324096171e-38,mt-Nd2,0.8753704,0.0,Esam,3.3551679,0.0,Calcrl,5.2392254,3.7527777372235245e-188,Gja5,8.107904,5.25000407879723e-96,Flt4,4.81937,7.547477259873873e-248,Fabp4,5.3882804,0.0,Krt8,3.3636153,0.0,Mt1,5.044687,0.0,Prap1,6.600485,0.0,Apoc3,6.4400516,0.0,Stard10,5.0668173,4.488153926056087e-138,Insm1,6.897596,8.677553254270569e-91,Cadm1,6.2641296,0.0,Dbi,3.7195125,2.9043616455519727e-150,Lmo4,3.3970656,0.0,Bcam,3.9196124,0.0,Krt19,5.317848,9.373924068860766e-299,Ctss,6.4094663,0.0,Ctsc,5.9113193,5.99973792708657e-248,Hbb-y,9.706763,1.729813910725754e-95
Rps26,0.49614283,4.757244998637542e-234,Col1a2,3.8208458,0.0,Foxf1,3.7153242,0.0,Itga1,5.414259,7.339374217875595e-111,Col6a2,4.8444805,0.0,Rarres2,4.7903886,6.775393613481905e-126,Tgfbi,3.3845325,0.0,Sfrp1,3.5576887,1.6256406811251158e-175,Ptch1,5.0776424,1.7579690920325793e-36,Fabp5,2.2761815,0.0,Col18a1,3.2571363,0.0,Cldn5,5.2254634,4.460727259510253e-188,Cldn5,4.918551,2.984404493494901e-94,Col18a1,3.554133,1.1239931028357625e-241,Sparcl1,4.267553,0.0,Stard10,3.3991072,0.0,Krt19,4.8128166,0.0,Fabp2,8.0084,0.0,Fth1,2.277027,0.0,Krt8,5.1448417,2.7318895757725826e-134,Cpe,4.282301,1.296215091258486e-87,Tlx2,6.55518,0.0,Fam198b,5.3876143,3.6721418851635484e-150,Gfra1,4.8297215,0.0,Fbln2,3.654816,0.0,Col6a1,4.73578,1.5613076889107337e-289,Rac2,7.3107696,0.0,H2-Ab1,9.090098,1.324286485276968e-245,Bpgm,4.8840203,1.74788805078501e-92
mt-Cytb,0.4850293,1.156411124559456e-223,Cxcl12,3.7261298,0.0,Mfap4,2.9257329,0.0,Tpm2,5.107404,8.245924944559997e-110,Itm2a,4.799483,0.0,Sept4,5.54353,3.61597527448431e-121,Igfbp5,3.3307352,0.0,Snai2,4.0403705,7.260994249869445e-173,Lamb1,3.479922,3.1277381434968108e-34,Fkbp1a,1.5665957,0.0,S100a16,2.929165,0.0,Ackr3,5.7757154,1.0360065630339803e-185,Pecam1,4.1724944,1.1479191669177844e-92,Gng11,3.2402847,4.731647279028754e-237,Plpp3,4.8120294,0.0,Rpl14,1.0248518,0.0,Atp1b1,4.3440685,0.0,Chpt1,5.326595,0.0,Fabp1,7.5830593,0.0,Sct,8.440702,2.1101912803292126e-132,Sct,10.678531,2.4491679925983555e-87,Stmn1,2.8626635,0.0,Egfl8,8.2407875,2.0304792677722882e-147,Sox10,6.7656217,0.0,Krt19,3.5746374,2.1773556572013657e-302,Fbln2,5.4059014,3.106567100203649e-288,Cd52,6.943082,0.0,H2-Aa,9.560768,4.978589270723627e-242,Hba-x,10.382186,1.513386775196441e-91
