0_name,0_logfoldchange,0_pval,1_name,1_logfoldchange,1_pval,2_name,2_logfoldchange,2_pval,3_name,3_logfoldchange,3_pval,4_name,4_logfoldchange,4_pval,5_name,5_logfoldchange,5_pval,6_name,6_logfoldchange,6_pval,7_name,7_logfoldchange,7_pval,8_name,8_logfoldchange,8_pval,9_name,9_logfoldchange,9_pval,10_name,10_logfoldchange,10_pval,11_name,11_logfoldchange,11_pval,12_name,12_logfoldchange,12_pval,13_name,13_logfoldchange,13_pval,14_name,14_logfoldchange,14_pval
Cdkn1c,1.1866997,8.983183825589146e-286,Dcn,4.659038,0.0,Foxp2,2.6816115,1.1967279757890934e-301,Sox11,2.5131636,8.251283344010792e-257,Isl1,5.145361,6.580947685995561e-168,Colec10,4.771138,1.7513676265322068e-158,Actg2,5.485843,4.5740008122251745e-226,Etv1,5.1041503,2.2957494772594726e-150,Col4a1,4.413354,2.0092683983718919e-159,Cenpa,3.794172,2.7133942179718186e-95,Crip1,5.3977127,1.3212154215798194e-122,Col1a1,3.134746,3.941333136353727e-26,Plpp3,5.8854322,5.424600904834616e-27,Col6a4,8.967059,8.376454360002257e-26,Chodl,6.952385,3.806071201603602e-15
Ptn,1.3554808,2.3094462964275648e-262,Col3a1,2.8311157,0.0,Meis2,1.3464174,5.844272382160251e-232,Igfbp2,2.787475,9.397845039053278e-248,Peg3,1.9801292,1.8702037895731197e-158,Adamdec1,5.88325,6.66803697110612e-149,Acta2,4.8757043,3.4824921368309157e-221,Kit,4.962254,1.871045046046017e-135,Col18a1,6.766392,1.0008623135441317e-151,H2afz,2.0902145,2.5372367807535075e-90,Itga1,5.3839083,1.91847417388238e-120,Col1a2,3.449788,1.2688255343077554e-25,Tmem176b,4.4774337,6.954368290884194e-27,Pdgfra,5.3266263,1.5940328282299848e-25,Angptl2,4.185149,4.5199371489846985e-15
Dlk1,1.2951657,3.056715686028452e-224,Postn,5.2389364,0.0,Mab21l2,1.7384726,5.608960173724165e-210,Hoxd9,4.860268,3.438655976269098e-227,Stmn2,3.665251,1.6467591383764643e-131,Ptma,0.81661314,7.017104154988011e-144,Mylk,4.163861,5.654566778228228e-201,Chchd10,5.819602,3.6916854611676425e-122,Col4a2,4.0310044,1.7765203317926157e-149,H2afv,1.9608428,5.007572008381442e-89,Mcam,5.9088545,1.6766168773324642e-118,Fn1,3.6657662,4.611726076094283e-25,Hhip,7.602207,7.156619355148221e-27,Ednrb,6.378034,1.9047384113949736e-25,Nrp2,3.0363982,1.1487028814272333e-12
Slit2,1.6936772,3.7657050247565036e-212,Col1a2,3.336614,0.0,Foxp1,1.7625476,6.336397033483154e-205,Fst,3.9068706,4.898356542553527e-221,Nr2f2,1.6305718,3.901184777263328e-127,Snai2,2.5206392,3.6151817780294243e-143,Myl6,1.875113,1.0729055780579222e-178,Nrp2,3.2062068,3.964362272547561e-106,Igfbp7,4.7597313,4.363124156898815e-144,Birc5,3.3611248,1.899450085010748e-83,Igfbp7,4.6811433,1.2086784462696407e-114,Col5a2,2.5440862,8.493864180778106e-25,Aldh1a3,8.659778,9.157546733333905e-26,Adamdec1,8.657331,2.0374229068336347e-25,Thbs2,3.5021434,1.679715623118009e-12
Calr,0.962713,8.240368818361316e-194,Col1a1,2.9143784,0.0,Mpped2,2.2431686,1.065114470044875e-195,Isoc1,2.183905,1.634715040030824e-216,Sfrp1,1.8038058,2.9785706447165404e-116,Col14a1,2.176033,1.2703135681824793e-102,Myl9,3.2308302,2.8916015033245203e-170,Foxf1,3.023178,8.418684092804205e-105,Pdgfrb,4.6195807,7.370214605641992e-144,Ccnb2,3.6061728,2.3786962677973147e-78,Notch3,4.3769755,5.339848697087283e-114,P4ha2,4.311604,9.368518974202453e-25,Ifitm3,2.9048338,7.40456008850718e-25,Gm13889,6.4826493,9.427917523402552e-25,Fbln1,2.8531165,2.5985103267512724e-12
Mdk,0.89392245,1.8854105595366544e-186,Gsn,3.418758,0.0,Rps14,0.70397055,8.159825251466107e-195,Meis2,1.4393979,3.973876215492165e-207,Capn6,2.2608244,5.436538624163252e-111,Fibin,3.5360553,2.314154762757473e-102,Myh11,4.77265,3.199654071212409e-167,Ap1s2,3.7411268,1.9426981423662795e-102,Myh9,4.493951,2.3248080396064478e-142,Stmn1,2.12865,6.939243320528559e-74,Cav1,5.839026,2.9260963265889717e-111,Col18a1,4.7790174,1.2507418975341834e-23,Tmem176a,5.2947903,8.788793165704904e-25,Malat1,2.2403524,3.2114306382312523e-23,Cdo1,5.295479,3.226356440642975e-12
Rps20,0.40322015,2.5522050443201767e-180,S100a6,4.378488,0.0,Psd,1.6577462,2.840752190763595e-149,Hoxa10,4.279643,4.4523348230684865e-187,Palld,1.7782695,1.0666691640662887e-106,Tpt1,0.42709276,2.290026591500435e-98,Dstn,2.547287,7.428857415647056e-167,Cpe,2.4276197,6.256667598891115e-102,Rgs5,6.3745036,3.523293992409895e-140,Dynll1,1.1686348,1.936678905006327e-69,Myl9,4.01852,4.6356741728512195e-110,Peg3,2.9522955,2.2346769261040308e-23,Rarres2,3.9682763,2.1004661761858518e-23,Lama5,7.835711,4.535464262677015e-23,Rgs5,4.3627067,6.261976663937265e-12
Rpl13,0.38561156,7.324235667718227e-176,Col6a1,2.531204,0.0,Mylk,2.0106962,4.188209034152695e-146,Nnat,1.8882887,1.832461551503267e-166,Igf1,1.7763919,4.726456986896454e-93,Gpc6,2.4520109,7.1906793196646086e-96,Cnn1,5.0281706,1.614818803475845e-165,mt-Cytb,0.918577,3.727563398103431e-98,Ebf1,4.0907135,2.325271983877362e-129,Selenoh,1.8389224,8.89131143627788e-63,Tinagl1,7.025659,8.0166658664847e-110,Sh3bgrl3,2.3953805,5.875003893288556e-23,Stc2,10.039698,2.474706803349304e-23,Npnt,7.3714185,5.154122341886309e-23,Emp1,3.2140212,1.0940941429382264e-11
Rpl12,0.5397118,1.898101566907299e-175,Lum,3.1598392,0.0,Lsp1,1.4026402,2.7218531113994526e-145,Tgfbi,1.9340934,1.8845062816261732e-166,Tac2,3.8745334,2.655721458378249e-91,Rgs5,2.5004804,1.8415116533636933e-83,Ckb,3.578653,5.197822061637963e-161,mt-Nd4,0.8731654,4.976644846766683e-95,Mcam,5.64819,2.4861985873186573e-128,Nucks1,1.7341763,1.8247318862755963e-60,Cald1,2.5861502,1.8433125639684072e-109,Pitx2,4.261592,1.4797302758566933e-22,Igfbp3,6.0982976,1.219123382533768e-22,Tmem176a,4.3398232,8.579282138768649e-23,Emilin1,2.165708,2.082679322949817e-11
Rpl32,0.47493914,2.0933719233794152e-171,Sparc,1.9152931,0.0,Smoc2,1.345779,7.175141972084176e-131,Hoxd10,5.071324,1.4318831011830412e-158,Csrp2,1.3554249,5.31974794389645e-90,Cd63,0.9877514,1.1729810019843077e-81,Cald1,1.9991798,1.8195316978836074e-157,Enpep,5.1767664,1.1773540894986272e-91,Gm13889,5.7015696,4.196131384270851e-124,Cks2,2.89177,2.9461523538579737e-60,Tagln,5.2797666,4.090110436491791e-109,Gpx3,4.1797805,2.022118938568666e-21,Pros1,5.714995,1.5334416908004158e-22,Bmp5,6.3812118,2.0047438239750922e-20,Kitl,4.110757,2.352295197096069e-11
Rpl14,0.47956026,2.5343104226540677e-169,Mfap5,6.4623384,0.0,Rps16,0.49254408,2.052189102760755e-130,Ptma,0.6239632,1.3063284191747137e-135,Unc5c,2.0409355,2.4774740483637244e-84,Tcf21,1.3813561,1.0568789013411706e-74,Tpm1,2.1131222,3.5960458217003086e-152,Pcdh17,5.0912323,1.4600434004999138e-90,Sept4,6.1872873,9.541582923099358e-122,Tubb4b,2.6361668,2.0845272258694733e-59,Myh11,5.385287,1.598766555747076e-107,Csrp2,2.7770064,3.048901317766577e-21,Adamdec1,6.6620975,3.0664927875964056e-22,Col4a5,5.7161865,4.8135054454626734e-20,Smoc2,2.3723981,3.804267625409007e-11
Rpl28,0.43077588,2.0547211507616587e-164,Col14a1,3.952418,0.0,Rgs10,1.9005276,5.941153788867807e-128,Atxn7l3b,0.9901827,7.072931998808139e-132,Prnp,1.5956339,3.523719258357551e-82,Gpx3,2.589242,2.3363201872370092e-74,Tagln,3.5956013,4.924442863573123e-139,Cox8a,1.2277672,7.782900186356242e-83,Cygb,4.3692994,1.0233434532133404e-118,Hmgb2,2.1559398,1.171942711687573e-51,Col4a1,3.2840583,6.331170868221752e-107,Rcn3,2.3636632,3.929806316423764e-21,Col18a1,5.4871693,6.142440735808752e-22,Foxf1,3.6047702,1.6390937950867347e-19,Aspn,3.3535583,2.0909285708945605e-10
Csrp2,1.2733693,1.223303163216386e-163,Col6a2,2.5585225,0.0,Cox4i1,0.603841,3.48300595944878e-126,Prdx2,0.82450336,8.854377664164967e-124,mt-Nd4l,1.390802,5.647222871812731e-82,Ccnd2,1.3684281,2.484251727116995e-73,Tpm2,2.4237456,1.964936355367599e-135,Tmem158,3.2051556,2.1317535289672885e-80,Epas1,6.3451347,7.748790689932906e-112,Ran,1.3216488,1.9666958903194365e-51,Mef2c,4.7234373,1.1128397910037348e-103,Tgfb2,3.8150733,5.4191484386496956e-21,Hmcn1,5.2493787,7.203286278098583e-22,Lamb1,3.291827,1.6943141798639826e-19,Gucy1b1,3.0275662,2.3630780475445234e-10
Rps10,0.4196542,5.6165083163909936e-157,S100a10,3.0936933,0.0,Tpt1,0.32648292,7.189865614864638e-126,Hoxd11,4.6410656,7.243894319498048e-113,Abcg2,2.078157,2.568780934244564e-81,Ppp1r14a,1.7549174,1.1395092745715846e-72,Hmga2,2.9944866,7.383743664097917e-128,mt-Nd2,0.8062183,1.0005734141145874e-78,Itga1,4.6053715,8.786213346270176e-110,Hist1h2bc,3.6880918,3.080250815151369e-48,Mustn1,6.1700788,2.8619424722058033e-103,Plagl1,2.1576598,6.349334315690832e-21,Bgn,2.993173,1.8296992328920935e-21,AW112010,8.107483,1.766418168028824e-19,Col6a3,2.33254,4.2039510220082683e-10
Rps23,0.5480225,4.354069468989853e-155,Itih5,5.11524,0.0,Rpl18a,0.50278777,1.4500330990770172e-114,Mab21l2,1.413895,1.1231308734549669e-108,Nnat,1.4856877,3.285175373753305e-81,Ptch1,2.0371578,1.5577602773652817e-70,Foxf1,2.5661852,4.5101556416066195e-123,Ppargc1a,4.5962667,1.3089209501903614e-78,Crip2,4.052416,2.1259418881798326e-107,Hmgn2,1.3265524,1.3504429735943752e-40,Jag1,4.1191545,6.983326780687259e-103,Serpinh1,1.4932761,3.509317200942541e-20,Tagln2,4.30925,2.3232348953294097e-21,Tmem176b,3.8002949,4.2644703956066433e-19,Ets1,3.1321278,5.489991530878485e-10
Sfrp2,1.5604444,2.683021060882574e-153,Gpc3,1.8959807,0.0,Rps27a,0.37338224,1.0277465757105475e-110,Igfbp5,1.4361901,3.3458464993007985e-104,Pitx2,2.657381,4.991481666691345e-80,Foxf1,1.6443181,7.150418601919126e-70,Actb,0.9539125,5.990275285782116e-119,Rgs10,2.790096,4.0563898164678306e-77,Rarres2,3.154009,2.5296305727583943e-107,Hmgn1,0.9395029,7.664790284937766e-40,Acta2,4.803834,1.4305723142170654e-101,Pitx1,6.356698,5.0473211413594466e-20,Lgmn,4.5190234,1.2503305209637869e-19,mt-Cytb,1.2349837,2.122477820884558e-18,Pde5a,2.5633206,9.702560959622183e-10
Rpl41,0.51049227,5.560900330218055e-151,Col5a1,2.366871,0.0,Uqcrh,0.6066818,1.400492374778483e-110,Cd24a,1.7756101,3.013936843475113e-102,Mtch1,1.0211987,1.033306468541978e-77,Hsp90aa1,0.93890345,1.280575563926331e-65,Mgst3,2.8668988,4.632503017510099e-115,mt-Nd1,0.83644515,5.819864164627481e-76,Lamb1,2.9821866,2.642468486928677e-106,Rnaseh2c,1.6251897,7.75193020889634e-36,Aoc3,5.431179,2.930360295687387e-101,Col4a5,4.2801075,6.625834500444836e-19,Plac8,4.186929,2.6389794101154185e-19,Pten,3.8407629,4.676591191726452e-18,Pde3a,2.7483628,1.0454111717860743e-09
Wnt4,2.3977652,1.0930647403056544e-146,Itm2a,2.2705667,0.0,Rpl23,0.3520366,3.6351758155756333e-106,Hoxa9,3.650478,1.874691359087378e-96,Ncam1,1.3396811,1.819459677219015e-70,Mgll,2.5186837,1.8366381052462307e-63,Pdlim7,2.1352816,6.064049828221267e-111,mt-Co3,0.629253,4.4395880695815e-75,Ifitm3,2.234242,1.1851618110255138e-104,Cdca3,2.428317,1.6887532558852197e-35,Gm13889,5.081421,1.0622197704137962e-100,Col4a6,5.3951726,1.8597167153846854e-18,Col6a4,6.1726236,6.078940741309511e-19,Tgfbi,4.048352,8.481416478271828e-18,Pdgfra,2.6572664,2.5875408210780888e-09
Rps18,0.6240848,1.4877802697399125e-146,Vim,1.6569122,0.0,Cox7a2l,0.8213586,3.801786699630068e-106,Hsp90ab1,0.60689914,2.7948162569554265e-95,Scrn1,3.3962274,1.941140535514762e-69,Phlda1,2.1007915,3.5574006997866334e-63,Abracl,1.9721149,5.464958853663934e-110,Foxp2,2.5723646,1.5670248607176177e-73,Rasgrp2,4.292632,1.675418217787063e-103,Ptma,0.6105925,4.2137447924206904e-35,Tpm1,2.673285,2.179141309794306e-100,Pcolce,2.7414372,3.478637962258978e-18,Selenop,4.0115747,9.19353874373718e-19,Col6a1,2.59538,1.7752001416103962e-16,Ssfa2,3.5982072,2.870601594733927e-09
Rps11,0.4023729,5.540837064641906e-144,Nid1,2.9843485,0.0,Col23a1,1.8660351,1.3163338071612695e-104,Basp1,0.9861234,1.4016708411109135e-92,Zfhx4,1.3732321,1.2657792102295882e-68,Pkdcc,1.6199337,1.3102771825522674e-59,Fermt2,1.9578062,6.676294121957535e-110,Btg1,2.0234935,1.891429163033992e-73,Nid2,3.6651266,5.232139242235301e-102,Hsp90b1,1.0030344,6.18403295465442e-34,Cavin3,2.9103844,6.762032907569453e-97,Fabp5,2.6663258,6.759731598742532e-18,Sept4,5.3725038,4.0448075564340026e-18,Ptch1,4.198396,2.340115519084451e-16,Cmtm3,2.047868,3.1361750973890233e-09
Rps15a,0.41078475,1.2553662571191032e-141,Col6a3,2.359028,0.0,Rpl5,0.48247552,1.2826929167776976e-101,Crabp2,4.4370775,7.343277691353671e-91,Tnc,2.6475942,3.045540538393324e-68,Hint1,0.745306,3.8449789818207406e-59,Igfbp2,2.6531563,7.760115284915912e-106,Spry1,3.1867092,9.402675508212183e-71,Gcnt2,6.7891526,1.1825991014287157e-100,Cenpf,2.4879186,1.466298729223932e-33,Ndufa4l2,4.478621,1.892597263736264e-95,Wnt2,7.127782,1.956495863399092e-17,Nkx2-3,2.8452325,6.574394463847434e-18,Col6a3,2.9384906,2.803724420420647e-16,Tgfbi,2.5756335,3.713070821951573e-09
Rpl19,0.47553247,3.6607880003255207e-141,Cd34,4.5077157,0.0,Timp3,1.7027876,2.909555811265144e-99,Marcksl1,0.9012554,4.06912903533535e-88,Cxcl12,1.2438357,3.662996078497461e-68,Mab21l2,1.3277938,4.058409421264742e-59,Rbpms,1.8697845,7.471221834691726e-104,Ldhb,2.147544,2.8285146208837612e-70,Cbfa2t3,5.5362244,5.31836971906362e-100,Sub1,0.85791576,5.871522738236372e-33,Tm4sf1,5.4350076,2.932879263069164e-93,P4ha1,2.8216424,7.7845666217976e-17,Fgfr2,4.0995326,8.80099560715198e-18,Pla2g4a,4.6901526,8.758598445709662e-16,Pid1,3.9133985,4.0506907725361834e-09
Rpl27a,0.39859313,3.7482735979393034e-141,Igfbp7,3.4541438,0.0,Rps24,0.3065235,7.067546071385439e-99,Fbn2,0.9634614,3.293100043023696e-84,Hsp90ab1,0.5890416,3.0023966122593864e-67,Hmgn1,0.7727992,1.5187815363995899e-58,Flna,1.766887,1.6964157338534484e-100,Pde3a,2.7654626,4.686730746268022e-69,Notch3,3.7440608,6.519083770208097e-97,Cdkn1c,1.0312381,1.6509408852249063e-32,Col4a2,3.1493108,2.9218826606264823e-92,Postn,3.5005167,8.302137185930517e-17,Igfbp7,3.6893542,1.0480832966753506e-17,mt-Nd4,1.0436459,9.727952398422872e-16,Arpc3,1.7495886,7.757281816447621e-09
Rps24,0.3198896,2.929466072173594e-138,Dlk1,1.841915,0.0,Ldhb,1.1970783,4.489532904341529e-98,Gsta4,2.4688404,8.213767667766182e-81,Mmp16,1.9476624,2.1019129445433743e-64,Sox4,1.1106832,1.601253647091986e-58,Cfl1,1.0240291,2.2671604113814938e-97,Atp2b1,1.7524045,6.716241387966122e-69,Ndufa4l2,4.2737303,2.0358978258797447e-94,Hmgb1,1.0510345,4.2278423848456886e-32,Sept7,1.9805995,1.7385873936846024e-91,Gata6,3.0309527,8.608662030288492e-17,Myh9,3.3904636,1.8056922927007318e-17,Tbx3,5.9779706,1.0652494532166348e-15,Fxyd6,2.08951,8.588916289074525e-09
Sulf2,1.1893789,4.444484353844597e-136,Fstl1,1.6085622,0.0,Acta2,1.6441114,1.9089635553679648e-97,Nfib,0.91488206,2.383930930231806e-80,Adamtsl1,1.8936231,1.3081065333028851e-59,H2afz,1.0952165,1.796601176426891e-58,Psd,2.066937,1.81691905135404e-95,Edn3,3.3519635,1.3712945269191997e-68,Art3,8.047431,1.5584755443786281e-93,Knstrn,2.8087573,4.7778986610567943e-32,Flna,2.748066,9.534941288238055e-90,Stk26,5.4323416,1.1010249364079987e-16,Ptch1,3.4528139,2.582445993956684e-17,mt-Nd1,1.128632,1.8217031012832115e-15,Vim,1.4670137,9.953276933397919e-09
Rplp1,0.45867482,4.033762597064514e-135,Vcan,2.6664538,0.0,Rps23,0.45639575,2.0402657303624033e-96,Set,0.7130902,1.1816703334848233e-78,Tnfaip8,1.3005449,5.4386800218083054e-58,Ybx1,0.69292367,6.673704001420603e-58,Cnn2,1.7798796,2.4596941251187836e-95,Thbs4,3.5932899,5.800671306349898e-68,mt-Cytb,1.0066193,2.460836140369104e-93,H1fx,1.4043696,6.448562500797654e-32,Tpm2,2.7378652,9.72647105421482e-90,Serpinf1,3.452131,1.540302803953974e-16,Spon2,5.0328817,3.200307939611661e-17,Plpp3,3.9349658,2.7535071129776436e-15,Cyp20a1,2.7287066,1.1446314995696752e-08
Rps19,0.48300865,3.756139966281691e-133,Zim1,3.562288,0.0,Rps19,0.43818521,2.094768502062513e-95,6330403K07Rik,1.0676059,6.479036206195043e-77,Gata6,1.6239725,8.631594819809299e-58,Robo2,3.3264086,1.1945879008019416e-57,Myocd,3.6148663,3.646878115876192e-93,Atp2a3,4.345466,1.1714973161517715e-66,Fabp7,5.315453,1.37745720667887e-91,Lmnb1,1.5824336,3.1338324777407623e-31,Esam,5.9708157,2.7027884704714622e-89,Sfrp2,2.864463,1.7456484527331793e-16,Itgb1,1.9971765,3.6575067293891453e-17,mt-Co1,1.0353693,8.994870165842858e-15,Atp5j,1.18737,1.1484392169279243e-08
Rps17,0.50341296,2.1675131264114757e-132,Clec3b,9.200295,0.0,Foxf1,1.3772956,3.329033489927336e-93,2600014E21Rik,6.235729,3.119004424731257e-75,6330403K07Rik,1.0726972,9.600018148199873e-57,Idh2,0.97012126,1.8977105295492801e-57,Synpo2,2.9274082,1.270780845031888e-87,Dkk2,2.890854,3.334162029367202e-65,Tagln2,3.298027,4.138600981456645e-89,Rangap1,2.1934054,8.576254511804718e-29,Actn1,2.9199739,4.49417907554212e-89,Gja1,5.050239,2.1018460594173037e-16,Gm13889,4.775434,5.853992871969236e-17,Tcf4,3.1805491,1.2162590053074006e-14,Svep1,3.0735397,1.2315597429354732e-08
Rpl11,0.5379447,4.727325670270107e-131,Ebf1,3.231979,0.0,Pde5a,1.6266671,5.956447263642238e-85,Cbx1,0.917471,1.9735672569387797e-69,Cux2,2.014161,8.786536792613029e-55,Angptl1,2.8892741,2.4924465832118445e-57,Aldh1a1,3.4053469,1.4111770361882377e-86,Ano1,3.9069946,8.111077445723529e-65,Phlda1,3.860626,7.296308422314402e-85,Oaz1,0.7247223,2.6809012269795704e-28,Pdgfa,3.89404,2.4396813844479437e-87,Col5a1,2.1088147,2.351289762167744e-16,Fhl1,4.143011,1.0381665832186017e-16,mt-Co3,0.8539217,1.299900503177477e-14,Col6a1,1.694812,2.33652025834661e-08
