Mesenchymal progenitors-1_name,Mesenchymal progenitors-1_logfoldchange,Mesenchymal progenitors-1_pval,Mesenchymal progenitors-2_name,Mesenchymal progenitors-2_logfoldchange,Mesenchymal progenitors-2_pval,Mesenchymal progenitors-3_name,Mesenchymal progenitors-3_logfoldchange,Mesenchymal progenitors-3_pval,Gut wall mesenchymal progenitors_name,Gut wall mesenchymal progenitors_logfoldchange,Gut wall mesenchymal progenitors_pval,SM-1 (Gut wall)_name,SM-1 (Gut wall)_logfoldchange,SM-1 (Gut wall)_pval,SM-2 (Gut wall)_name,SM-2 (Gut wall)_logfoldchange,SM-2 (Gut wall)_pval,Interstetial cells of Cajal (ICC)_name,Interstetial cells of Cajal (ICC)_logfoldchange,Interstetial cells of Cajal (ICC)_pval,Pdgfra+ fibroblast-like cells_name,Pdgfra+ fibroblast-like cells_logfoldchange,Pdgfra+ fibroblast-like cells_pval,Tnc+ Acta-low myofibroblast-like cells_name,Tnc+ Acta-low myofibroblast-like cells_logfoldchange,Tnc+ Acta-low myofibroblast-like cells_pval,SM-3 (Villus)_name,SM-3 (Villus)_logfoldchange,SM-3 (Villus)_pval,Pericytes_name,Pericytes_logfoldchange,Pericytes_pval
Isl1,4.905148,6.64173687504973e-159,Mdk,1.218615,7.823475168950545e-282,Wnt4,2.4254398,2.210512584595318e-68,Mab21l2,2.3240654,1.4125841791081958e-243,Myl6,1.7925792,1.5121966770898593e-189,Actg2,5.4703603,7.689377202401705e-230,Etv1,5.0950403,2.1465765943513993e-148,Dcn,4.4921694,0.0,Bgn,2.9893765,1.3677350007397726e-57,Mustn1,6.398448,1.292128013069077e-93,Col18a1,7.0498924,1.02728867573285e-151
Peg3,1.8861797,1.5994241531982217e-143,Ptn,1.3921417,1.0705321195812585e-273,Tubb5,1.0259817,5.4024424287644794e-64,Meis2,1.5972643,2.8366495842284383e-235,Mylk,3.700022,2.6555778904112076e-184,Acta2,4.8293247,5.472790032927444e-221,Kit,4.9320855,1.318452238119287e-131,Postn,5.0452905,0.0,Eln,4.857492,1.4664200905908722e-57,Tagln,5.856213,8.805581395311973e-93,Col4a1,4.321435,1.5572151721722077e-149
Nnat,1.9364665,4.333903346872359e-124,Cdkn1c,1.3007306,2.6353814980152974e-270,Fabp5,1.5860473,1.290483795444317e-63,Foxp2,2.4806557,5.214134092749304e-189,Acta2,4.0383463,1.1031209309744066e-182,Mylk,4.2434764,8.30684904167077e-201,Chchd10,5.7466364,2.8875907385197645e-117,Col3a1,2.7412927,0.0,Thbs2,4.122994,1.9068847543553168e-56,Mcam,5.86431,6.327837850201692e-91,Pdgfrb,4.705067,5.678352697659497e-143
Stmn2,3.3697066,8.765593653653731e-123,Sfrp2,1.9731007,1.1520113438913234e-192,Ptma,0.54897654,5.125899007055085e-56,Rps14,0.8387376,1.127775714694134e-183,Myl9,2.917007,2.743844750180323e-172,Myl6,1.8817941,9.223762320164624e-181,Foxf1,3.3619392,4.0785122599878033e-113,Gsn,3.322065,0.0,Mgp,4.123225,1.350646992488598e-55,Crip1,5.2411427,1.3182359809343022e-90,Rgs5,6.8217325,1.172345514089085e-140
Palld,1.9439565,1.2884555445387726e-119,Calr,1.0373204,3.100594078740612e-171,Cdc7,1.9709287,7.230732509513969e-56,Mpped2,2.4582653,1.9869360219005523e-166,Tpm1,2.0111089,2.611287145463882e-151,Myl9,3.233155,1.1669418866594466e-173,Nrp2,3.3182485,1.8677143516425267e-108,Col1a2,3.246254,0.0,Col1a2,3.0601203,3.367162581336632e-54,Myl9,4.440641,2.2115728758844416e-90,Col4a2,3.9045007,1.6058911777284064e-138
Sfrp1,1.6866161,1.0128207629674972e-112,Rpl12,0.5815119,8.560279571976424e-162,Ppia,0.5131448,8.172840508880532e-52,Rps16,0.6598157,1.5637254534461063e-162,Tagln,3.2636192,7.692434735150176e-140,Dstn,2.540293,2.2783279521723776e-168,Ap1s2,3.4855437,4.201566687316673e-96,Col1a1,2.754864,0.0,Col1a1,2.469776,1.546716850046417e-47,Mef2c,4.903547,3.0961887352301975e-90,Myh9,4.501427,2.089856831322575e-138
Nr2f2,1.4336491,9.982521409076955e-107,Rpl14,0.5361936,1.6152983071440186e-157,Ybx1,0.6988501,6.729419276293111e-51,Foxp1,1.7862933,3.453529043910056e-150,Tpm2,2.0106785,1.8583609103666503e-123,Cnn1,4.8816113,9.236692212627251e-167,Enpep,5.2724814,4.3603133527426145e-93,S100a6,3.997101,0.0,Fhl1,4.2423396,1.6309136936647236e-45,Aoc3,5.3929815,2.7245777321545283e-89,Igfbp7,4.5150485,2.0039780273432994e-131
Capn6,2.1726575,1.365832752924061e-106,Rps19,0.5836611,5.392137832402374e-156,H2afz,1.1007379,5.715704588726873e-48,Col23a1,2.4244103,6.551477284273703e-134,Cnn2,2.0617948,4.5866751019739204e-123,Myh11,4.651604,7.521317486375116e-166,mt-Cytb,0.8565883,3.7828615266294144e-88,Col6a1,2.4502263,0.0,Igfbp7,3.5356836,1.350890393808129e-44,Cav1,5.684899,5.01679338045652e-88,Gm13889,5.964197,1.589280194675487e-123
Pitx2,3.2603903,1.9140295258697716e-94,Sulf2,1.3790835,1.5974408829317229e-152,Ran,0.94101727,1.2981407263508659e-47,Tgfbi,1.9835577,2.1586006238353456e-131,Psd,2.3352578,2.9142093410778063e-115,Ckb,3.579085,2.8792926630285923e-164,Cpe,2.0356038,3.041980075162005e-85,Lum,3.0453007,0.0,Col14a1,3.408484,3.88372096482149e-44,Myh11,5.705443,5.029668023972186e-87,Mcam,5.424364,2.383050457533247e-120
Hsp90ab1,0.686816,6.353817495223648e-90,Rps23,0.61122495,2.1545286954526852e-150,Rpsa,0.5347843,7.993427874129368e-46,Ldhb,1.6388464,5.971826553436214e-129,Myh11,3.5030818,8.095637295113902e-110,Cald1,2.0083055,2.2280192398476475e-157,mt-Nd4,0.8134009,1.0148424526245634e-84,Mfap5,6.067314,0.0,Col3a1,2.2284214,4.213107188063157e-43,Cald1,2.770548,6.030909915198719e-87,Sept4,6.351825,8.308936317946994e-120
Tac2,3.6341603,2.4313305269432876e-85,Rpl27a,0.45712432,3.7837103263053266e-145,Ccl11,2.4102883,3.560112319223822e-45,Rpl18a,0.6296829,1.4962919705073848e-123,Id2,2.177464,5.18755501582728e-106,Tpm1,2.1395364,6.792619330300239e-153,Pcdh17,4.7613006,1.8947851406174092e-84,Col14a1,4.042242,0.0,Crip1,3.6422386,8.30189098171742e-41,Igfbp7,4.682124,3.659140114547523e-86,Ebf1,3.8746367,1.6795212664118433e-117
Igf1,1.596314,1.1038204344366638e-83,Rpl13,0.4056025,3.1936211359745817e-140,Pclaf,2.0962923,1.4312834922369305e-44,Npm1,0.7372546,4.038537233912426e-123,Alcam,2.260035,1.2929634518510215e-94,Hmga2,3.4595747,8.222931290470785e-146,Tmem158,3.2533882,7.531137984660464e-81,Itih5,5.1414413,0.0,Vcan,2.7942693,1.672119319987126e-40,Tinagl1,6.8869596,4.954827361036495e-86,Cygb,4.2592506,3.4545734297330594e-113
Ncam1,1.4705824,4.316757423988518e-82,Rpl32,0.48112136,3.800091810389047e-136,Jag1,1.6165274,7.127389178950521e-44,Rgs10,2.0858512,5.280587377407198e-115,Ckb,2.508817,6.84442697311494e-91,Foxf1,2.9918125,1.2255928876852423e-142,Rgs10,2.845442,7.046521092569821e-78,Col6a2,2.517978,0.0,Postn,3.5489023,1.9493350337187866e-40,Itga1,5.2637486,8.341530172749684e-86,Epas1,6.292048,1.7114236833555688e-106
